ch_i,ch_j,idx_i,idx_j,raw,pruned,diff
AF3,FC3,2,18,1,0,-1
AF3,FC2,2,20,1,0,-1
AF3,C1,2,27,1,0,-1
AF3,C4,2,29,1,0,-1
AF3,CP1,2,35,1,1,0
CP2,P4,36,45,1,0,-1
P4,Cz,45,59,1,0,-1
AF3,PO3,2,50,1,0,-1
AF3,O2,2,52,1,0,-1
AF3,PO4,2,53,1,0,-1
AF3,CPz,2,60,1,0,-1
AF7,PO7,1,49,1,0,-1
AF7,O1,1,51,1,0,-1
AF7,O2,1,52,1,0,-1
AF7,AFz,1,56,1,0,-1
P6,O2,46,52,1,1,0
P6,PO4,46,53,1,0,-1
P6,AFz,46,56,1,0,-1
T6,FPz,47,48,1,0,-1
CP1,PO8,35,54,1,0,-1
CP1,Oz,35,55,1,0,-1
CP1,AFz,35,56,1,0,-1
P5,PO8,41,54,1,0,-1
CP2,AFz,36,56,1,0,-1
CP4,TP8,37,39,1,0,-1
CP4,P2,37,44,1,0,-1
CP4,PO7,37,49,1,0,-1
CP4,PO3,37,50,1,0,-1
CP4,O1,37,51,1,0,-1
CP4,PO4,37,53,1,0,-1
CP4,Oz,37,55,1,1,0
CP6,P2,38,44,1,0,-1
CP6,PO3,38,50,1,0,-1
CP6,O1,38,51,1,0,-1
P2,CPz,44,60,1,0,-1
P4,PO8,45,54,1,0,-1
P4,Oz,45,55,1,0,-1
P4,Fz,45,57,1,0,-1
P2,Cz,44,59,1,0,-1
TP8,Fz,39,57,1,0,-1
T5,P2,40,44,1,0,-1
AF7,CPz,1,60,1,0,-1
AF3,FP2,2,4,1,0,-1
AF3,A2,2,7,1,0,-1
AF3,F6,2,14,1,1,0
AF3,FT7,2,16,1,0,-1
AF7,FC1,1,19,1,0,-1
AF7,FT8,1,23,1,0,-1
AF7,CP2,1,36,1,1,0
T5,T6,40,47,1,0,-1
T5,O2,40,52,1,0,-1
T5,PO8,40,54,1,0,-1
T5,Fz,40,57,1,0,-1
T5,CPz,40,60,1,0,-1
AF7,F8,1,15,1,0,-1
A1,CP6,0,38,1,0,-1
A1,T5,0,40,1,0,-1
A1,PO8,0,54,1,0,-1
A1,Oz,0,55,1,0,-1
FCz,Cz,58,59,1,0,-1
AF7,FP2,1,4,1,0,-1
Oz,Fz,55,57,1,0,-1
Oz,Cz,55,59,1,0,-1
Oz,CPz,55,60,1,0,-1
AFz,Fz,56,57,1,0,-1
Fz,FCz,57,58,1,1,0
A1,C3,0,26,1,0,-1
P5,Oz,41,55,1,0,-1
P3,FPz,42,48,1,0,-1
P3,PO4,42,53,1,0,-1
FT7,P4,16,45,1,0,-1
FT7,P6,16,46,1,0,-1
F8,FT7,15,16,1,0,-1
F8,FT8,15,23,1,0,-1
F8,T3,15,24,1,0,-1
F8,C2,15,28,1,1,0
F8,C4,15,29,1,0,-1
F8,T4,15,31,1,0,-1
F8,P3,15,42,1,0,-1
F8,O2,15,52,1,0,-1
F8,PO8,15,54,1,0,-1
F4,CP3,13,34,1,0,-1
F4,Cz,13,59,1,1,0
AF7,A2,1,7,1,0,-1
AF7,F5,1,9,1,0,-1
AF7,F1,1,11,1,0,-1
O2,Cz,52,59,0,1,1
P4,PO3,45,50,0,1,1
CP1,CPz,35,60,0,1,1
C4,CP3,29,34,0,2,2
C1,CP3,27,34,0,1,1
T3,CP1,24,35,0,1,1
FC2,C2,20,28,0,1,1
FC1,P1,19,43,0,1,1
FC5,C5,17,25,0,1,1
FC5,CP5,17,33,0,1,1
FT7,CP3,16,34,0,1,1
F2,C2,12,28,0,1,1
F2,CP5,12,33,0,1,1
F2,C5,12,25,0,1,1
F1,F6,11,14,0,1,1
F7,CP1,8,35,0,1,1
A2,CP3,7,34,0,1,1
FPz,Cz,48,59,0,1,1
